species,species_BirdLife,Extant,ExtinctionPeriod,ExtinctionType,IslandEndemic,IUCN,GenLength,IslandEndemic2
Buceros_hydrocorax,Multiple,Extant,Current,Current,Yes,VU,10.7085,Yes
Buceros_rhinoceros,Buceros_rhinoceros,Extant,Current,Current,No,VU,11.806,No
Rhinoplax_vigil,Rhinoplax_vigil,Extant,Current,Current,No,CR,9.537,No
Aceros_undulatus,Rhyticeros_undulatus,Extant,Current,Current,No,VU,8.666,No
Rhyticeros_sp_Lifou,Rhyticeros_sp_Lifou,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Aceros_plicatus,Rhyticeros_plicatus,Extant,Current,Current,No,LC,8.58,No
Aceros_cassidix,Rhyticeros_cassidix,Extant,Current,Current,Yes,VU,8.236,Yes
Aceros_waldeni,Rhabdotorrhinus_waldeni,Extant,Current,Current,Yes,CR,7.779,Yes
Aceros_subruficollis,Rhyticeros_subruficollis,Extant,Current,Current,No,VU,8.537,No
Penelopides_samarensis,Penelopides_affinis,Extant,Current,Current,Yes,LC,6.318,Yes
Penelopides_mindorensis,Penelopides_mindorensis,Extant,Current,Current,Yes,EN,6.705,Yes
Penelopides_panini,Penelopides_panini,Extant,Current,Current,Yes,EN,9.586,Yes
Penelopides_manillae,Penelopides_manillae,Extant,Current,Current,Yes,LC,5.932,Yes
Penelopides_affinis,Penelopides_affinis,Extant,Current,Current,Yes,LC,6.318,Yes
Penelopides_exarhatus,Rhabdotorrhinus_exarhatus,Extant,Current,Current,Yes,VU,5.058,Yes
Aceros_leucocephalus,Rhabdotorrhinus_leucocephalus,Extant,Current,Current,Yes,NT,7.318,Yes
Aceros_corrugatus,Rhabdotorrhinus_corrugatus,Extant,Current,Current,No,EN,7.467,No
Aceros_nipalensis,Aceros_nipalensis,Extant,Current,Current,No,VU,9.551,No
Aceros_comatus,Berenicornis_comatus,Extant,Current,Current,No,EN,8.339,No
Aceros_everetti,Rhyticeros_everetti,Extant,Current,Current,Yes,EN,7.686,Yes
Aceros_narcondami,Rhyticeros_narcondami,Extant,Current,Current,Yes,VU,6.641,Yes
Ocyceros_birostris,Ocyceros_birostris,Extant,Current,Current,No,LC,4.84,No
Ocyceros_gingalensis,Ocyceros_gingalensis,Extant,Current,Current,No,LC,4.892,No
Ocyceros_griseus,Ocyceros_griseus,Extant,Current,Current,No,VU,4.815,No
Tropicranus_albocristatus,Multiple,Extant,Current,Current,No,LC,6.64,No
Ceratogymna_elata,Ceratogymna_elata,Extant,Current,Current,No,VU,7.262,No
Ceratogymna_atrata,Ceratogymna_atrata,Extant,Current,Current,No,LC,7.711,No
Bycanistes_subcylindricus,Bycanistes_subcylindricus,Extant,Current,Current,No,LC,9.675,No
Bycanistes_cylindricus,Bycanistes_cylindricus,Extant,Current,Current,No,VU,7.545,No
Bycanistes_fistulator,Multiple,Extant,Current,Current,No,LC,7.2025,No
Bycanistes_brevis,Bycanistes_brevis,Extant,Current,Current,No,LC,8.333,No
Bycanistes_bucinator,Bycanistes_bucinator,Extant,Current,Current,No,LC,6.067,No
Bycanistes_albotibialis,Bycanistes_albotibialis,Extant,Current,Current,No,LC,6.484,No
Bucorvus_cafer,Bucorvus_leadbeateri,Extant,Current,Current,No,VU,19.946,No
Bucorvus_abyssinicus,Bucorvus_abyssinicus,Extant,Current,Current,No,VU,19.292,No
Tockus_bradfieldi,Lophoceros_bradfieldi,Extant,Current,Current,No,LC,4.535,No
Tockus_fasciatus,Multiple,Extant,Current,Current,No,LC,6.1445,No
Tockus_alboterminatus,Lophoceros_alboterminatus,Extant,Current,Current,No,LC,4.615,No
Tockus_nasutus,Lophoceros_nasutus,Extant,Current,Current,No,LC,4.218,No
Tockus_hemprichii,Lophoceros_hemprichii,Extant,Current,Current,No,LC,4.973,No
Tockus_camurus,Lophoceros_camurus,Extant,Current,Current,No,LC,3.747,No
Tockus_hartlaubi,Multiple,Extant,Current,Current,No,LC,5.699,No
Tockus_deckeni,Tockus_deckeni,Extant,Current,Current,No,LC,4.149,No
Tockus_pallidirostris,Lophoceros_pallidirostris,Extant,Current,Current,No,LC,3.997,No
Tockus_flavirostris,Tockus_flavirostris,Extant,Current,Current,No,LC,4.567,No
Tockus_monteiri,Tockus_monteiri,Extant,Current,Current,No,LC,3.569,No
Tockus_erythrorhynchus,Multiple,Extant,Current,Current,No,LC,3.3095,No
Tockus_leucomelas,Tockus_leucomelas,Extant,Current,Current,No,LC,3.693,No
Tockus_jacksoni,Tockus_jacksoni,Extant,Current,Current,No,LC,4.202,No
Upupa_epops,Multiple,Extant,Current,Current,No,LC,2.455,No
Upupa_antaios,Upupa_antaios,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Phoeniculus_castaneiceps,Rhinopomastus_castaneiceps,Extant,Current,Current,No,LC,2.872,No
Phoeniculus_somaliensis,Phoeniculus_somaliensis,Extant,Current,Current,No,LC,3.252,No
Phoeniculus_purpureus,Phoeniculus_purpureus,Extant,Current,Current,No,LC,4.829,No
Phoeniculus_damarensis,Phoeniculus_damarensis,Extant,Current,Current,No,LC,4.659,No
Phoeniculus_bollei,Phoeniculus_bollei,Extant,Current,Current,No,LC,4.596,No
Rhinopomastus_cyanomelas,Rhinopomastus_cyanomelas,Extant,Current,Current,No,LC,2.941,No
Rhinopomastus_aterrimus,Rhinopomastus_aterrimus,Extant,Current,Current,No,LC,2.908,No
Rhinopomastus_minor,Rhinopomastus_minor,Extant,Current,Current,No,LC,2.889,No
Galbula_cyanicollis,Galbula_cyanicollis,Extant,Current,Current,No,LC,3.176,No
Galbula_galbula,Galbula_galbula,Extant,Current,Current,No,LC,2.605,No
Galbula_albirostris,Multiple,Extant,Current,Current,No,LC,2.7005,No
Galbula_pastazae,Galbula_pastazae,Extant,Current,Current,No,VU,3.137,No
Galbula_ruficauda,Galbula_ruficauda,Extant,Current,Current,No,LC,2.851,No
Galbula_cyanescens,Galbula_cyanescens,Extant,Current,Current,No,LC,2.616,No
Galbula_dea,Galbula_dea,Extant,Current,Current,No,LC,2.685,No
Galbula_tombacea,Galbula_tombacea,Extant,Current,Current,No,LC,2.616,No
Galbula_chalcothorax,Galbula_chalcothorax,Extant,Current,Current,No,LC,2.61,No
